wobuxiang	我不想	13920	20571
zhejuh	这句话	13904	17995
shishenme	是什么	13696	21337
nizj	你自己	13528	20961
wozaijia	我在家	13517	17687
nidongde	你懂的	13286	19186
wozij	我自己	13205	20496
haerb	哈尔滨	13199	33032
bjb	笔记本	13197	24566
leisil	累死了	13076	18872
dierg	第二个	13041	16587
shuizhaol	睡着了	12990	19816
youyige	有一个	12740	16388
wanyouxi	玩游戏	12401	16919
ybr	要不然	12392	27962
nijid	你几点	12283	18338
xqw	星期五	12054	21444
zheliangtian	这两天	11873	18791
yibb	一般般	11745	17017
jiusuanl	就算了	11452	14967
xiangnile	想你了	11155	18350
buhaokan	不好看	11139	14734
nvhaizi	女孩子	11106	17810
hwl	好无聊	11077	21147
zgy	这个月	11007	17609
cwf	吃完饭	10801	20975
kandaole	看到了	10773	14947
llt	聊聊天	10770	20755
haokeai	好可爱	10747	14865
qaid	亲爱的	10441	42116
dyy	电影院	10365	15468
niyij	你已经	10330	13327
dwj	端午节	10099	21900
wzm	我怎么	9868	14834
fxx	发信息	9548	19205
xyk	信用卡	9544	17767
chulail	出来了	9480	12203
resil	热死了	9470	13491
buhuijia	不回家	9382	11720
xzz	现在在	9270	18124
jianbud	见不到	8991	11137
keyide	可以的	8940	12660
yinggaishi	应该是	8897	12526
zsh	早上好	8804	36880
faxx	发信息	8789	13802
zuiqim	最起码	8696	11363
nibangwo	你帮我	8692	11414
haohaode	好好的	8610	13231
dyg	第一个	8593	11869
dianshij	电视剧	8553	11496
nihaiy	你还有	8535	10588
gangdaojia	刚到家	8479	11507
xkl	辛苦了	8362	16030
wopeini	我陪你	8333	11529
nsbs	你是不是	8294	12984
buzaih	不在乎	8236	10475
kanqilai	看起来	8219	11498
duibud	对不对	8175	10617
zmhui	怎么会	8099	12027
haibuzhidao	还不知道	8085	10261
wokk	我看看	7942	12274
mkj	没看见	7898	12063
shangces	上厕所	7850	9732
zenmela	怎么啦	7839	17249
nimangba	你忙吧	7776	11566
nizaiganma	你在干嘛	7736	12318
youkn	有可能	7689	10228
bushiwo	不是我	7603	9711
haoduoren	好多人	7558	9519
huiqul	回去了	7506	9866
chishenme	吃什么	7488	11103
dierge	第二个	7397	9130
kebukeyi	可不可以	7256	9548
buzaij	不在家	7251	8980
gennishuo	跟你说	7232	9766
duiziji	对自己	7164	8626
nizheme	你这么	7067	8950
jisuanj	计算机	7049	11155
haoxiangni	好想你	6967	11630
zhemeduo	这么多	6962	8932
nky	你可以	6896	10615
nichil	你吃了	6813	9190
wanzix	晚自习	6780	11482
smdx	什么东西	6744	10275
kuaishuiba	快睡吧	6736	11322
jiuzheme	就这么	6672	8501
yxgs	有限公司	6642	11475
woyehui	我也会	6607	8048
dmj	打麻将	6472	15543
fansile	烦死了	6376	9979
xibany	西班牙	6364	12008
jiumeiy	就没有	6361	7941
duohes	多喝水	6305	9396
leisile	累死了	6245	8908
sxt	摄像头	6234	9237
qqq	去去去	6214	11974
buzenme	不怎么	6187	8247
slm	睡了吗	6157	13945
wudianban	五点半	6113	7992
wcl	我错了	6090	13954
jiushuil	就睡了	6060	7435
buwanl	不玩了	6034	7824
woxiale	我下了	6017	8799
bufangx	不放心	6015	7238
zgsm	在干什么	6013	18356
henwul	很无聊	5958	7230
wkk	我看看	5939	8617
xinbux	信不信	5799	6758
nibuneng	你不能	5773	6803
zheyanga	这样啊	5766	9647
nishouj	你手机	5766	7210
ninal	你那里	5732	7479
kankanba	看看吧	5703	7450
mtc	摩托车	5692	10377
wodaojiale	我到家了	5657	10183
zaixuexiao	在学校	5630	7294
daonali	到哪里	5623	7153
henzhongy	很重要	5556	6575
wky	我可以	5545	7953
zmx	怎么想	5530	7423
ksm	看什么	5488	7731
geinik	给你看	5462	7050
niwanshang	你晚上	5397	6975
woshenme	我什么	5362	6909
hhz	好孩子	5347	8512
guobul	过不了	5292	6367
meifax	没发现	5279	6198
meiys	没意思	5276	6918
wuwuw	呜呜呜	5259	8953
dym	大姨妈	5233	9723
liulanqi	浏览器	5217	7701
buliaojie	不了解	5202	6213
nidas	你打算	5191	6604
youshiq	有事情	5167	6482
caikand	才看到	5061	6282
binida	比你大	4998	6237
haolih	好厉害	4968	6779
nishuowo	你说我	4926	6200
meixinq	没心情	4915	6029
youduos	有多少	4891	5780
nikand	你看到	4886	5890
zhibuzhid	知不知道	4870	5874
keyibu	可以不	4815	6288
buxg	不习惯	4815	5805
burangwo	不让我	4769	5836
wozhongwu	我中午	4700	5698
